"","registro","price_usd","address","beds","baths","half_baths","sqft","lat","long"
"195","2110-02c21-24",166000,"1 N Culver Street Chippewa Falls, WI 54729",4,1,NA,1196,44.939528,-91.383622
"199","2110-02c21-25",181200,"809 E Park Ave Chippewa Falls, WI 54729",3,1,NA,1504,44.9317,-91.3733
"207","2110-02c21-26",239900,"5374 173rd Street Chippewa Falls, WI 54729",3,1,1,2131,44.920795,-91.32119
"216","2110-02c21-27",74900,"27410 263rd Avenue Holcombe, WI 54745",3,1,NA,1186,45.2239,-91.1198
"223","2110-02c21-28",194900,"720 Dwight Street Chippewa Falls, WI 54729",3,1,NA,1176,44.9426,-91.4122
"230","2110-02c21-29",182500,"809 Stanley Street Chippewa Falls, WI 54729",2,1,NA,1100,44.937622,-91.410057
"235","2110-02c21-30",94000,"27685 269th Avenue Holcombe, WI 54745",3,1,NA,980,45.2325,-91.1168
"244","2110-02c21-31",229900,"4142 115th Street Chippewa Falls, WI 54729",3,1,NA,1490,44.9029,-91.4375
"262","2110-02c21-32",189900,"620 W Willow Street Chippewa Falls, WI 54729",4,1,NA,1792,44.9337,-91.4032
"271","2110-02c21-33",180000,"433 Irvine Street Chippewa Falls, WI 54729",3,1,NA,1752,44.9252,-91.3855
