registro,price_usd,address,beds,baths,half_baths,sqft,lat,long
2111-02c21-77,198000,"1140 Calle Carmelita Rio Rico, AZ 85648",3,2,NA,1408,31.469046,-110.952122
2111-02c21-78,236900,"1178 Circulo Golfo Rio Rico, AZ 85648",3,2,NA,1525,31.549148,-111.017808
2111-02c21-79,675000,"1511 Via San Cayetano Rio Rico, AZ 85648",4,4,NA,4582,31.542842,-110.971868
2111-02c21-80,499000,"220 Circulo Veranera Tubac, AZ 85646",2,2,1,1897,31.622818,-111.044337
2111-02c21-81,425000,"1105 E Valle Vista Drive Nogales, AZ 85621",4,4,NA,4286,31.362741,-110.909197
2111-02c21-82,699000,"61 Cougar Pass Tubac, AZ 85646",2,3,NA,4848,31.576305,-110.853527
2111-02c21-83,675260,"62 Madera Court Tubac, AZ 85646",3,2,1,2346,31.618421,-111.048862
2111-02c21-84,453000,"70 PALMAS Court Tubac, AZ 85646",3,2,NA,1873,31.62057,-111.04654
2111-02c21-85,449000,"12 Los Encinos Road Elgin, AZ 85611",4,3,NA,5046,31.670261,-110.654118
2111-02c21-86,424900,"85 Camino Mar -- Rio Rico, AZ 85648",4,3,NA,2606,31.540995,-111.008249
2111-02c21-87,369000,"31 Valhalla Lane Elgin, AZ 85611",2,2,NA,2292,31.522185,-110.474258
2111-02c21-88,247000,"599 ALCANFOR Court Rio Rico, AZ 85648",3,2,NA,1536,31.50793,-111.025734
2111-02c21-89,160000,"1336 W Camino De La Paloma -- Nogales, AZ 85621",3,2,NA,1423,31.342384,-110.962195
2111-02c21-90,360000,"1739 Circulo Alameda Rio Rico, AZ 85648",3,2,1,2249,31.552546,-111.020358
